,PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,COMMIS,SALES_PRICE
41,P02442,Karapakkam,931,16,1.0,1.0,3,AdjLand,No,Commercial,AllPub,Paved,A,4.0,4.2,2.4,3.42,166668,6944500
42,P06444,Karapakkam,1290,86,1.0,1.0,3,AdjLand,Yes,House,AllPub,Paved,RH,3.1,2.1,4.1,3.2,92940,7745000
43,P05298,Karapakkam,507,49,1.0,1.0,2,AbNormal,Yes,House,ELO,Gravel,RH,2.6,4.6,4.6,4.0,74464,5728000
44,P05882,KK Nagar,2492,113,4.0,2.0,6,AbNormal,No,Commercial,NoSeWa,Paved,RL,4.3,4.6,3.8,4.19,224706,18725520
45,P02558,Karapakkam,851,105,1.0,1.0,2,Partial,No,House,AllPub,No Access,C,4.0,3.8,2.5,3.34,39295,3572250
46,P09483,T Nagar,1882,189,2.0,1.0,5,AbNormal,Yes,Others,ELO,Gravel,RM,3.9,4.5,4.7,4.366666666666667,272877,16051580
47,P06006,Anna Nagar,1710,15,1.0,1.0,4,Normal Sale,Yes,Commercial,AllPub,Gravel,RH,2.7,4.0,2.2,2.825,161728,20215970
48,P04106,Karapakkam,1412,28,2.0,2.0,4,AdjLand,No,House,ELO,Gravel,RL,4.1,2.9,3.1,3.34,192717,8379000
49,P09556,Adyar,779,51,1.0,1.0,2,Normal Sale,No,House,NoSewr ,No Access,C,3.6,4.4,2.4,3.16,31744,5290635
50,P00389,T Nagar,1655,19,1.0,1.0,4,AbNormal,No,Others,AllPub,Gravel,RH,2.1,4.3,3.9,3.46,238430,12548930
51,P05245,Karapakkam,940,167,1.0,1.0,3,AdjLand,No,House,AllPub,Paved,RH,2.7,2.7,4.1,3.26,64435,5857750
52,P01690,KK Nagar,1667,126,2.0,1.0,4,Partial,Yes,House,NoSeWa,Paved,RM,4.8,2.1,5.0,4.07,268243,10729700
53,P07753,KK Nagar,1926,49,3.0,2.0,5,Family,Yes,Commercial,NoSeWa,Paved,RM,3.1,2.9,4.7,3.68,153061,17006780
54,P08611,Adyar,718,75,1.0,1.0,2,Partial,Yes,Others,ELO,No Access,C,2.0,3.9,3.4,3.08,55701,5570050
55,P01934,Karapakkam,545,154,1.0,1.0,2,Partial,No,Others,ELO,No Access,RH,3.1,2.2,3.4,2.95,88651,3854375
56,P06326,Karapakkam,1249,25,1.0,1.0,3,AdjLand,Yes,Others,ELO,Gravel,RH,2.8,3.7,3.5,3.35,120328,8594875
57,P00865,T Nagar,1894,187,2.0,1.0,5,Partial,Yes,House,NoSewr ,Gravel,RL,2.0,3.7,4.4,3.505,162591,13549250
58,P02088,Karapakkam,1469,200,2.0,2.0,4,AbNormal,No,Commercial,NoSewr ,No Access,C,4.7,2.0,2.4,2.97,132731,9480750
59,P07770,Adyar,916,32,1.0,1.0,3,Normal Sale,Yes,House,ELO,No Access,A,3.6,3.0,3.9,3.63,23390,5847520
60,P08118,Chrompet,934,11,1.0,1.0,3,AdjLand,Yes,House,NoSeWa,Paved,RM,3.4,4.0,3.8,3.76,58265,9710900
61,P03221,Karapakkam,1691,100,2.0,2.0,4,AbNormal,No,House,NoSeWa,Gravel,RM,4.0,3.9,3.5,3.77,178576,9398750
62,P03273,Karapakkam,1236,36,1.0,1.0,3,Normal Sale,No,Commercial,NoSewr ,Paved,I,3.3,3.3,2.0,2.78,114481,8806250
63,P08667,T Nagar,1577,23,1.0,1.0,4,Partial,Yes,Others,NoSeWa,Paved,RH,3.8,4.7,3.9,4.07,193397,12087330
64,P03791,Anna Nagar,1915,13,2.0,1.0,5,Partial,Yes,Others,NoSeWa,Gravel,RH,4.6,2.3,4.5,3.985,170107,14175620
65,P01247,Anna Nagar,1600,154,1.0,1.0,4,Family,Yes,House,ELO,Gravel,RH,3.9,2.7,2.5,3.04,166891,11920820
66,P02391,Velachery,1579,58,2.0,1.0,4,AbNormal,Yes,Commercial,ELO,Paved,I,4.6,2.3,2.3,2.88,240565,13364730
67,P07825,Adyar,1260,89,2.0,2.0,4,Partial,No,Others,NoSeWa,No Access,A,3.8,4.1,4.5,4.21,34615,6922975
68,P05787,Adyar,1021,176,1.0,1.0,3,Normal Sale,No,Commercial,NoSeWa,Paved,I,3.5,4.8,2.5,3.26,175098,11673175
69,P02285,KK Nagar,2174,48,3.0,2.0,5,Family,Yes,Others,AllPub,Paved,RM,2.9,2.1,2.3,2.42,313674,13069740
70,P05304,Anna Nagar,1589,39,1.0,1.0,4,Partial,No,Others,AllPub,Gravel,RL,2.1,2.5,4.5,3.16,85486,12212350
71,P05309,Adyar,668,177,1.0,1.0,2,AbNormal,Yes,Commercial,NoSeWa,Gravel,I,4.9,2.9,3.5,3.8,102836,10283575
72,P09664,Velachery,1724,116,2.0,1.0,4,AbNormal,Yes,House,ELO,No Access,RL,3.8,2.2,2.0,2.54,152260,8956480
73,P02813,Adyar,890,116,1.0,1.0,3,AbNormal,Yes,House,NoSewr ,Paved,C,2.5,4.7,5.0,4.19,43124,7187350
74,P08933,Adyar,1218,51,2.0,2.0,4,Normal Sale,No,Commercial,AllPub,No Access,I,4.7,3.9,3.3,3.84,138323,12574850
75,P03590,Anna Nagar,1792,41,1.0,1.0,4,Family,Yes,House,ELO,Gravel,RM,2.7,2.6,2.0,2.395,250313,13906270
76,P01725,Karapakkam,1378,192,2.0,2.0,4,AdjLand,No,Others,NoSewr ,Gravel,RM,4.2,2.8,2.6,3.14,208268,9917500
77,P06570,Karapakkam,898,72,1.0,1.0,3,Partial,Yes,Commercial,NoSewr ,Paved,RH,2.4,3.1,2.1,2.49,215744,8629750
78,P02686,Anna Nagar,1928,148,2.0,1.0,5,Partial,No,House,AllPub,No Access,RH,3.4,4.1,2.4,3.175,105003,11667050
79,P07789,Chrompet,1233,24,2.0,1.0,4,AbNormal,No,House,NoSeWa,Gravel,RM,2.2,2.0,4.6,2.84,107989,9817150
80,P08836,Velachery,1618,100,2.0,1.0,4,AdjLand,Yes,Others,NoSewr ,Paved,C,4.0,4.3,4.1,4.17,92631,9263050
81,P02716,Karapakkam,627,49,1.0,1.0,2,Family,No,House,NoSewr ,Gravel,RM,4.3,2.8,2.5,3.13,92225,6587500
82,P09780,Velachery,1563,43,2.0,1.0,4,Family,No,House,NoSeWa,Gravel,RM,4.7,4.5,2.6,3.98,195987,9799360
83,P06528,Karapakkam,1693,187,2.0,2.0,4,Normal Sale,Yes,Commercial,NoSewr ,Gravel,C,3.9,2.1,3.9,3.36,166420,12801500
84,P06989,T Nagar,1522,85,1.0,1.0,4,Partial,No,Commercial,AllPub,Gravel,RL,4.2,3.6,3.5,3.735,174545,17454510
85,P07824,Adyar,1090,171,1.0,1.0,3,Partial,Yes,Others,NoSeWa,Gravel,RH,3.1,2.7,2.3,2.62,98324,9832420
86,P00545,Chrompet,1085,149,1.0,1.0,3,AbNormal,Yes,Commercial,NoSewr ,Gravel,RL,2.8,3.8,4.6,3.733333333333333,100545,14363500
87,P06461,T Nagar,1687,73,1.0,1.0,4,AbNormal,No,Others,NoSewr ,Paved,RH,4.6,4.6,2.0,3.43,224582,12476770
88,P07650,Adyar,692,62,1.0,1.0,2,Normal Sale,Yes,Commercial,AllPub,Paved,RH,4.1,4.4,5.0,4.61,124576,10381355
89,P07887,T Nagar,1518,145,1.0,1.0,4,Family,Yes,Commercial,AllPub,Paved,RH,3.7,3.5,4.1,3.83,158402,17600240
90,P08050,Adyar,1025,125,1.0,1.0,3,Partial,No,Commercial,NoSeWa,Paved,I,2.5,2.5,2.7,2.6,142153,10934875
91,P04677,KK Nagar,2170,121,3.0,2.0,5,Family,Yes,House,NoSewr ,Gravel,RL,3.7,4.6,4.0,4.09,284560,12372160
92,P03124,Chrompet,969,70,1.0,1.0,3,Family,Yes,Commercial,ELO,No Access,RH,3.4,2.4,4.0,3.18,146234,11248750
93,P08147,KK Nagar,1546,129,2.0,1.0,4,AbNormal,No,Commercial,AllPub,Gravel,RM,2.5,4.3,2.8,3.16,142411,14241140
94,P06097,KK Nagar,1709,6,2.0,1.0,4,AbNormal,Yes,House,NoSeWa,Paved,RL,4.3,3.7,2.0,3.2,233694,10160600
95,P00959,T Nagar,1659,103,1.0,1.0,4,AdjLand,Yes,Others,NoSeWa,No Access,RL,3.8,2.3,3.8,3.425,216625,13539080
96,P00057,Chrompet,755,8,1.0,1.0,2,Normal Sale,No,Commercial,ELO,Gravel,RM,3.8,4.4,2.7,3.71,42911,10727750
97,P08607,Adyar,1182,50,1.0,1.0,3,Normal Sale,Yes,House,AllPub,No Access,RL,3.2,3.5,3.1,3.21,39468,9867055
98,P01632,Adyar,735,67,1.0,1.0,2,AdjLand,No,Commercial,NoSeWa,No Access,RH,2.7,4.0,4.0,3.61,132702,9478710
99,P00937,Chrompet,1089,0,1.0,1.0,3,Normal Sale,Yes,House,ELO,Paved,RL,2.7,2.9,3.1,2.9,45251,9050200
100,P09868,Velachery,1534,6,2.0,1.0,4,Partial,Yes,Others,ELO,Paved,C,4.7,4.6,2.3,3.94,63234,7904210
101,P08848,Anna Nagar,1622,147,1.0,1.0,4,Family,Yes,House,ELO,Gravel,RL,4.4,3.7,4.2,4.145,209015,13063450
102,P07681,KK Nagar,2198,71,3.0,2.0,5,Partial,Yes,Others,NoSewr ,Gravel,RM,4.8,4.2,3.9,4.26,122265,13584980
103,P00407,Chrompet,1293,34,2.0,1.0,4,Normal Sale,No,Commercial,ELO,No Access,RL,3.1,2.2,3.8,2.95,157393,13116050
104,P06126,KK Nagar,1641,178,2.0,1.0,4,Partial,No,Others,AllPub,Gravel,RL,4.6,4.4,3.1,3.94,190239,10012600
105,P09763,Velachery,1950,185,3.0,2.0,5,AdjLand,Yes,Others,NoSeWa,Paved,RL,5.0,4.2,3.4,4.16,84741,12105920
106,P02652,Karapakkam,1245,106,1.0,1.0,3,Partial,No,Others,NoSeWa,Paved,A,4.1,2.9,3.5,3.5,113123,4918375
107,P06329,Chrompet,905,144,1.0,1.0,3,Family,No,Others,ELO,Gravel,RH,3.8,3.5,4.0,3.74,77032,7703200
108,P01701,KK Nagar,1496,135,2.0,1.0,4,Family,No,House,NoSewr ,Gravel,RH,3.2,3.8,2.8,3.22,137105,8569080
109,P09722,Velachery,1892,38,3.0,2.0,5,AdjLand,Yes,House,ELO,Gravel,RM,3.9,3.5,4.8,3.99,133613,12146620
110,P04743,Velachery,1517,40,2.0,1.0,4,Family,No,Commercial,ELO,Paved,C,4.0,4.6,2.9,3.94,116716,11671620
111,P06768,Adyar,1034,73,1.0,1.0,3,AdjLand,Yes,Others,ELO,Gravel,C,3.8,3.3,3.5,3.533333333333333,46284,9256740
112,P06746,Velachery,1755,142,2.0,1.0,4,Family,Yes,Commercial,NoSewr ,Gravel,I,4.6,4.0,3.9,4.12,193907,14915900
113,P00934,Anna Nagar,1622,79,1.0,1.0,4,AdjLand,Yes,House,NoSeWa,Paved,RM,2.2,3.3,2.2,2.475,243860,13547790
114,P00899,Chrompet,1092,89,1.0,1.0,3,Normal Sale,No,Others,AllPub,No Access,RH,2.4,2.4,2.0,2.28,57491,8213040
115,P00566,Chrompet,821,34,1.0,1.0,3,AdjLand,No,House,NoSeWa,Paved,RH,3.4,4.6,2.9,3.73,65736,7304000
116,P07878,KK Nagar,1694,72,2.0,1.0,4,Family,No,Others,NoSeWa,Gravel,RL,4.0,2.0,3.9,3.36,114300,10390900
117,P05305,Anna Nagar,1809,177,2.0,1.0,5,Family,No,Commercial,AllPub,No Access,RL,3.0,3.5,2.0,2.725,230482,19206870
118,P02252,Karapakkam,1401,20,2.0,2.0,4,Partial,Yes,Others,AllPub,Gravel,RL,3.8,4.3,4.0,4.03,229204,9965375
119,P03571,Karapakkam,1470,99,2.0,2.0,4,AbNormal,No,Others,NoSewr ,No Access,RH,3.1,3.0,3.1,3.07,172968,7207000
120,P00942,Chrompet,798,166,1.0,1.0,2,Partial,No,Commercial,NoSewr ,Paved,RH,2.3,2.6,3.6,2.81,145129,9070550
121,P08304,Chrompet,764,137,1.0,1.0,2,Partial,No,House,ELO,No Access,RH,3.3,3.2,2.1,2.9,90723,5670200
122,P07597,Chrompet,1135,50,1.0,1.0,3,AbNormal,No,Others,NoSewr ,No Access,RM,4.9,2.1,3.8,3.45,148051,9253200
123,P06565,Karapakkam,939,74,1.0,1.0,3,AbNormal,No,House,ELO,No Access,I,4.9,3.7,3.3,3.9,38646,4294000
124,P06398,Karapakkam,1586,59,2.0,2.0,4,Normal Sale,Yes,Commercial,NoSewr ,Gravel,RM,3.9,3.0,4.5,3.87,200424,14316000
125,P09293,T Nagar,1973,63,2.0,1.0,5,Family,Yes,Commercial,AllPub,Gravel,RM,2.6,2.9,4.9,3.71,116535,23307000
126,P09021,Chrompet,1023,44,1.0,1.0,3,Partial,Yes,House,AllPub,Paved,RM,3.0,2.8,3.6,3.1,38941,9735150
127,P04325,Chrompet,884,75,1.0,1.0,3,Normal Sale,No,Commercial,NoSewr ,No Access,RM,2.3,3.8,2.4,2.93,45346,11336400
128,P05031,Anna Nagar,1640,113,1.0,1.0,4,AdjLand,No,Commercial,ELO,No Access,RH,2.5,3.1,3.5,3.05,194718,17701600
129,P08918,Adyar,622,60,1.0,1.0,2,Normal Sale,No,Others,ELO,No Access,RL,2.7,4.9,3.5,3.54,72302,6572900
130,P05947,Anna Nagar,1880,90,2.0,1.0,5,Partial,Yes,House,NoSeWa,No Access,RM,3.2,4.2,4.0,3.77,214768,13423020
131,P05350,KK Nagar,2413,166,4.0,2.0,6,AbNormal,No,Others,NoSeWa,Paved,RM,2.5,2.4,2.9,2.63,170587,13122040
132,P07092,T Nagar,1649,169,1.0,1.0,4,AdjLand,No,Commercial,AllPub,Gravel,RH,2.1,2.0,4.6,3.2,113635,18939100
133,P08337,Velachery,1729,144,2.0,1.0,4,Partial,Yes,Commercial,NoSewr ,Paved,A,3.3,4.0,4.0,3.83,128036,12803570
134,P00089,T Nagar,1942,10,2.0,1.0,5,Family,No,House,NoSeWa,Gravel,RH,4.6,3.1,2.9,3.533333333333333,61654,12330740
135,P00403,Chrompet,711,116,1.0,1.0,2,AdjLand,Yes,Others,NoSeWa,No Access,RL,2.6,3.2,2.8,2.9,64402,8050270
136,P00717,Chrompet,885,122,1.0,1.0,3,Family,No,House,ELO,No Access,RM,4.6,2.7,2.1,3.09,107919,7194600
137,P06064,KK Nagar,1688,148,2.0,1.0,4,AbNormal,Yes,House,NoSewr ,Gravel,RM,2.0,2.5,4.4,3.11,285318,11412700
138,P08625,Adyar,1236,108,2.0,2.0,4,Family,No,Commercial,ELO,Gravel,A,3.7,3.5,4.4,4.01,24071,12035355
139,P02917,Karapakkam,926,98,1.0,1.0,3,Family,No,House,ELO,Gravel,RL,4.3,4.8,2.9,3.89,68770,6877000
140,P06881,KK Nagar,1686,57,2.0,1.0,4,AbNormal,No,Others,NoSeWa,Paved,RM,3.2,2.7,3.9,3.33,196582,10346400
141,P05823,Karapakkam,1344,129,2.0,2.0,4,AdjLand,No,Commercial,NoSewr ,Gravel,RH,4.6,4.2,3.3,3.96,259428,10809500
142,P01492,KK Nagar,1437,104,2.0,1.0,4,Family,No,Others,AllPub,Gravel,RM,3.8,4.6,2.6,3.56,102006,10200600
143,P06226,Karapakkam,1430,17,2.0,2.0,4,AbNormal,Yes,Others,NoSewr ,No Access,A,4.3,3.2,3.8,3.766666666666667,106172,6635750
144,P07481,Adyar,1081,85,1.0,1.0,3,Family,No,House,AllPub,No Access,C,3.5,3.1,3.2,3.27,6190,6190150
145,P05518,Karapakkam,1352,1,2.0,2.0,4,Normal Sale,Yes,House,ELO,Gravel,A,3.0,2.0,3.5,2.9,123638,6507250
146,P06801,KK Nagar,1986,109,3.0,2.0,5,Normal Sale,No,House,AllPub,Gravel,RM,4.9,3.6,4.6,4.39,227008,11350400
147,P07373,Anna Nagar,1758,164,1.0,1.0,4,Partial,Yes,Commercial,AllPub,No Access,RL,3.5,2.9,4.0,3.55,231426,19285540
148,P04399,Karapakkam,607,121,1.0,1.0,2,Normal Sale,No,Others,NoSeWa,Gravel,RL,4.2,4.9,2.2,3.61,117133,5856625
149,P07490,KK Nagar,2139,136,3.0,2.0,5,Normal Sale,Yes,Others,NoSewr ,Paved,RL,2.3,4.1,2.4,2.88,249440,12472000
150,P05417,KK Nagar,1488,97,2.0,1.0,4,Partial,No,Others,AllPub,Paved,RH,2.3,5.0,4.1,3.83,202606,8441900
151,P09702,Velachery,1645,96,2.0,1.0,4,Partial,No,House,NoSeWa,No Access,RH,3.7,4.5,2.1,3.58,75793,7579320
152,P05869,Chrompet,950,177,1.0,1.0,3,Normal Sale,Yes,Others,NoSeWa,Gravel,RL,3.7,2.6,3.4,3.17,146385,9759000
153,P00534,Chrompet,928,90,1.0,1.0,3,Partial,Yes,Commercial,AllPub,Gravel,RH,2.1,3.8,3.7,3.26,62119,12423800
154,P07334,Velachery,1693,145,2.0,1.0,4,Normal Sale,Yes,Commercial,NoSewr ,Paved,RM,4.1,2.7,4.1,3.47,108470,15495760
155,P08511,Velachery,1873,0,3.0,2.0,5,Family,Yes,Others,ELO,No Access,RL,4.8,3.4,3.9,3.9,198401,11022270
156,P04112,Adyar,721,145,1.0,1.0,2,Partial,No,Others,NoSeWa,Paved,RL,3.4,2.8,4.6,3.88,60844,7605550
157,P02262,Karapakkam,1190,37,1.0,1.0,3,Family,Yes,House,NoSewr ,Gravel,RH,4.3,4.1,3.8,4.04,127484,7967750
158,P03305,KK Nagar,1593,9,2.0,1.0,4,Partial,No,Others,AllPub,Paved,RH,3.2,3.2,4.2,3.6,223670,8946800
159,P05447,Chrompet,786,181,1.0,1.0,2,AbNormal,Yes,Others,ELO,Gravel,RL,4.4,4.8,4.3,4.53,83203,9244820
160,P02126,Chrompet,1195,93,1.0,1.0,3,AdjLand,No,Others,NoSeWa,Paved,RL,3.0,4.7,3.2,3.74,29465,9821600
161,P06964,Velachery,1824,187,3.0,2.0,5,Normal Sale,No,House,NoSewr ,Paved,I,3.9,2.3,4.1,3.433333333333333,76942,8549060
162,P08195,KK Nagar,1906,81,3.0,2.0,5,AbNormal,Yes,Commercial,NoSeWa,Paved,RH,3.7,4.7,3.0,3.72,206086,15852740
163,P04311,Adyar,656,20,1.0,1.0,2,AbNormal,No,Commercial,AllPub,Paved,I,4.5,2.3,2.3,2.96,113849,8757635
164,P08974,Chrompet,727,84,1.0,1.0,2,AbNormal,No,Others,ELO,Gravel,RM,3.1,4.3,2.5,3.4,100992,8415990
165,P04824,Adyar,931,37,1.0,1.0,3,Family,Yes,Others,ELO,Paved,RM,2.0,3.6,4.0,3.32,19871,9935595
166,P09337,Velachery,1898,108,3.0,2.0,5,AdjLand,Yes,Commercial,ELO,No Access,RM,3.9,2.7,4.4,3.51,332357,16617860
167,P08903,Anna Nagar,1698,15,1.0,1.0,4,Family,No,House,NoSeWa,Gravel,RM,5.0,4.9,3.1,4.215,198593,12412050
168,P08975,T Nagar,1926,193,2.0,1.0,5,AdjLand,Yes,Commercial,NoSewr ,No Access,RM,4.2,4.9,3.1,3.88,203675,22630540
169,P03906,Karapakkam,1481,144,2.0,2.0,4,Partial,Yes,Commercial,AllPub,Paved,A,3.7,4.9,2.3,3.5,178227,9901500
170,P08737,Anna Nagar,1506,122,1.0,1.0,4,Family,No,House,ELO,No Access,RM,3.9,3.4,2.1,3.055,177648,10449910
171,P00163,Chrompet,1020,95,1.0,1.0,3,Family,No,House,NoSeWa,No Access,RM,4.2,2.4,4.1,3.45,31794,7948600
172,P07499,Chrompet,889,196,1.0,1.0,3,AbNormal,No,Others,ELO,Gravel,RM,5.0,2.4,2.0,3.06,136480,9098680
173,P01939,Chrompet,1015,147,1.0,1.0,3,Family,Yes,House,AllPub,Paved,RH,3.9,4.4,2.0,3.53,66743,8342850
174,P03550,T Nagar,1682,78,1.0,1.0,4,AbNormal,No,Commercial,AllPub,Gravel,RH,3.7,3.0,3.5,3.435,111974,18662350
175,P00920,Chrompet,869,39,1.0,1.0,3,Family,No,Others,NoSewr ,No Access,RM,4.3,4.8,3.3,4.2,138935,8172630
176,P01500,Karapakkam,1445,20,2.0,2.0,4,Family,No,House,NoSeWa,No Access,I,4.9,2.9,2.5,3.34,87848,5856500
177,P00340,Anna Nagar,1919,178,2.0,1.0,5,Partial,Yes,House,NoSeWa,Gravel,RM,2.4,5.0,3.3,3.41,117633,14704160
178,P02832,Adyar,1243,141,2.0,2.0,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,C,3.9,4.3,2.2,3.13,26721,13360440
179,P04417,Karapakkam,857,158,1.0,1.0,2,Normal Sale,No,House,ELO,Paved,I,3.6,2.4,3.4,3.16,59139,4928250
180,P05246,Karapakkam,1055,174,1.0,1.0,3,AdjLand,Yes,Others,NoSeWa,Gravel,I,3.7,2.3,4.8,3.72,117042,7315125
181,P02863,KK Nagar,1778,94,3.0,2.0,5,Family,No,Others,NoSewr ,Gravel,RL,3.1,3.9,4.4,3.86,153976,10998320
182,P03006,Karapakkam,851,124,1.0,1.0,2,AdjLand,No,Others,ELO,Paved,A,3.8,4.8,2.6,3.62,39364,3936375
183,P08264,Chrompet,1021,82,1.0,1.0,3,Partial,Yes,Others,NoSewr ,No Access,RL,2.0,2.5,4.6,2.98,147228,9201770
